Total solution: 92
Solution 44: (0,3),(1,7),(2,0),(3,2),(4,5),(5,1),(6,6),(7,4)
Solution 45: (0,3),(1,7),(2,0),(3,4),(4,6),(5,1),(6,5),(7,2)
Solution 46: (0,3),(1,7),(2,4),(3,2),(4,0),(5,6),(6,1),(7,5)
Solution 47: (0,4),(1,0),(2,3),(3,5),(4,7),(5,1),(6,6),(7,2)
Solution 48: (0,4),(1,0),(2,7),(3,3),(4,1),(5,6),(6,2),(7,5)
Solution 49: (0,4),(1,0),(2,7),(3,5),(4,2),(5,6),(6,1),(7,3)
Solution 50: (0,4),(1,1),(2,3),(3,5),(4,7),(5,2),(6,0),(7,6)
Solution 51: (0,4),(1,1),(2,3),(3,6),(4,2),(5,7),(6,5),(7,0)
Solution 52: (0,4),(1,1),(2,5),(3,0),(4,6),(5,3),(6,7),(7,2)
Solution 53: (0,4),(1,1),(2,7),(3,0),(4,3),(5,6),(6,2),(7,5)
Solution 54: (0,4),(1,2),(2,0),(3,5),(4,7),(5,1),(6,3),(7,6)
Solution 55: (0,4),(1,2),(2,0),(3,6),(4,1),(5,7),(6,5),(7,3)
Solution 56: (0,4),(1,2),(2,7),(3,3),(4,6),(5,0),(6,5),(7,1)
Solution 57: (0,4),(1,6),(2,0),(3,2),(4,7),(5,5),(6,3),(7,1)
Solution 58: (0,4),(1,6),(2,0),(3,3),(4,1),(5,7),(6,5),(7,2)
Solution 59: (0,4),(1,6),(2,1),(3,3),(4,7),(5,0),(6,2),(7,5)
Solution 60: (0,4),(1,6),(2,1),(3,5),(4,2),(5,0),(6,3),(7,7)
Solution 61: (0,4),(1,6),(2,1),(3,5),(4,2),(5,0),(6,7),(7,3)
Solution 62: (0,4),(1,6),(2,3),(3,0),(4,2),(5,7),(6,5),(7,1)
Solution 63: (0,4),(1,7),(2,3),(3,0),(4,2),(5,5),(6,1),(7,6)
Solution 64: (0,4),(1,7),(2,3),(3,0),(4,6),(5,1),(6,5),(7,2)
Solution 65: (0,5),(1,0),(2,4),(3,1),(4,7),(5,2),(6,6),(7,3)
Solution 66: (0,5),(1,1),(2,6),(3,0),(4,2),(5,4),(6,7),(7,3)
Solution 67: (0,5),(1,1),(2,6),(3,0),(4,3),(5,7),(6,4),(7,2)
Solution 68: (0,5),(1,2),(2,0),(3,6),(4,4),(5,7),(6,1),(7,3)
Solution 69: (0,5),(1,2),(2,0),(3,7),(4,3),(5,1),(6,6),(7,4)
Solution 70: (0,5),(1,2),(2,0),(3,7),(4,4),(5,1),(6,3),(7,6)
Solution 71: (0,5),(1,2),(2,4),(3,6),(4,0),(5,3),(6,1),(7,7)
Solution 72: (0,5),(1,2),(2,4),(3,7),(4,0),(5,3),(6,1),(7,6)
Solution 73: (0,5),(1,2),(2,6),(3,1),(4,3),(5,7),(6,0),(7,4)
Solution 74: (0,5),(1,2),(2,6),(3,1),(4,7),(5,4),(6,0),(7,3)
Solution 75: (0,5),(1,2),(2,6),(3,3),(4,0),(5,7),(6,1),(7,4)
Solution 76: (0,5),(1,3),(2,0),(3,4),(4,7),(5,1),(6,6),(7,2)
Solution 77: (0,5),(1,3),(2,1),(3,7),(4,4),(5,6),(6,0),(7,2)
Solution 78: (0,5),(1,3),(2,6),(3,0),(4,2),(5,4),(6,1),(7,7)
Solution 79: (0,5),(1,3),(2,6),(3,0),(4,7),(5,1),(6,4),(7,2)
Solution 80: (0,5),(1,7),(2,1),(3,3),(4,0),(5,6),(6,4),(7,2)
Solution 81: (0,6),(1,0),(2,2),(3,7),(4,5),(5,3),(6,1),(7,4)
Solution 82: (0,6),(1,1),(2,3),(3,0),(4,7),(5,4),(6,2),(7,5)
Solution 83: (0,6),(1,1),(2,5),(3,2),(4,0),(5,3),(6,7),(7,4)
Solution 84: (0,6),(1,2),(2,0),(3,5),(4,7),(5,4),(6,1),(7,3)
Solution 85: (0,6),(1,2),(2,7),(3,1),(4,4),(5,0),(6,5),(7,3)
Solution 86: (0,6),(1,3),(2,1),(3,4),(4,7),(5,0),(6,2),(7,5)
Solution 87: (0,6),(1,3),(2,1),(3,7),(4,5),(5,0),(6,2),(7,4)
Solution 88: (0,6),(1,4),(2,2),(3,0),(4,5),(5,7),(6,1),(7,3)
Solution 89: (0,7),(1,1),(2,3),(3,0),(4,6),(5,4),(6,2),(7,5)
Solution 90: (0,7),(1,1),(2,4),(3,2),(4,0),(5,6),(6,3),(7,5)
Solution 91: (0,7),(1,2),(2,0),(3,5),(4,1),(5,4),(6,6),(7,3)
Solution 92: (0,7),(1,3),(2,0),(3,2),(4,5),(5,1),(6,6),(7,4)
